group	dataset	ID	Name	Source	pValue	FDR_BH	FDR_BY	Bonferroni	Genes_from_Input	Genes_in_Annotation	include
active_down	2	3.40.50.720	-	Gene3D	5.58E-12	1.39E-08	1.27E-07	2.78E-08	44	169	FALSE
active_down	2	10q24	10q24	NA	2.34E-06	1.03E-03	7.74E-03	2.39E-03	9	35	FALSE
active_down	3	16q13	16q13	NA	3.02E-06	1.03E-03	7.74E-03	3.09E-03	9	36	FALSE
active_down	5	19p13.3	19p13.3	NA	1.12E-05	2.29E-03	1.72E-02	1.15E-02	23	237	FALSE
active_down	24	46	1-acylglycerol-3-phosphate O-acyltransferases|EF-hand domain containing	genenames.org	1.94E-03	3.14E-02	2.06E-01	7.56E-01	4	11	FALSE
active_down	1	2q37	2q37	NA	4.04E-09	4.13E-06	3.10E-05	4.13E-06	11	31	FALSE
active_down	ToppCell Atlas	ed7a8e79e5723a5f5a03f542203d9e50bdef5f50	3'-Adult-SmallIntestine-Epithelial|Adult / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	3.17E-156	4.14E-153	4.54E-152	1.04E-151	136	184	FALSE
active_down	ToppCell Atlas	9042bd0f57213a51503d9df2e4dce3209b7772d3	3'-Adult-SmallIntestine-Epithelial-mature enterocytic-Enterocyte|Adult / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	2.27E-158	3.38E-155	3.70E-154	7.43E-154	138	187	FALSE
active_down	ToppCell Atlas	ab71b312635a2b2c98d71b60a299f44bc80a3587	3'-Child04-06-SmallIntestine-Epithelial|Child04-06 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	1.16E-176	3.14E-173	3.45E-172	3.77E-172	151	199	FALSE
active_down	ToppCell Atlas	ee981046217e8759610eb58a670d98f32cd83abc	3'-Child04-06-SmallIntestine-Epithelial-mature enterocytic|Child04-06 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	3.10E-201	1.45E-197	1.59E-196	1.01E-196	163	199	FALSE
active_down	ToppCell Atlas	0181c13379f869be47804cdb11bbdabcd30b9b23	3'-Child04-06-SmallIntestine-Epithelial-mature enterocytic-Enterocyte|Child04-06 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	7.03E-210	1.15E-205	1.26E-204	2.30E-205	167	199	TRUE
active_down	ToppCell Atlas	043c65bdf54a1bf0e483fea9ffc042ff5b271764	3'-Child09-12-SmallIntestine-Epithelial|Child09-12 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	9.53E-173	2.22E-169	2.44E-168	3.11E-168	149	199	FALSE
active_down	ToppCell Atlas	222a060c2c63d30da34e4b71c37aa27a048d7d09	3'-Child09-12-SmallIntestine-Epithelial-mature enterocytic|Child09-12 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	4.10E-204	2.68E-200	2.94E-199	1.34E-199	164	198	FALSE
active_down	ToppCell Atlas	2967fb2d94662997bfe932ac299c80d6f182fb48	3'-Child09-12-SmallIntestine-Epithelial-mature enterocytic-Enterocyte|Child09-12 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	4.10E-204	2.68E-200	2.94E-199	1.34E-199	164	198	FALSE
active_down	ToppCell Atlas	ecdef1a0a0b8399e193b922c8ca8c25e63de4a4f	3'-GW trimst-1.5-SmallIntestine-Epithelial|GW trimst-1.5 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	4.59E-158	6.25E-155	6.85E-154	1.50E-153	141	198	FALSE
active_down	ToppCell Atlas	0ca955b71b97571b45e9e89004f1d0bb9fc9e67b	3'-GW trimst-2-SmallIntestine-Epithelial|GW trimst-2 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	3.09E-170	6.73E-167	7.39E-166	1.01E-165	148	200	FALSE
active_down	ToppCell Atlas	1e6ac65ce7133de4872dcd7e98e2a9e57d3d61b7	3'-GW trimst-2-SmallIntestine-Epithelial-mature enterocytic|GW trimst-2 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	4.69E-165	8.51E-162	9.34E-161	1.53E-160	145	199	FALSE
active_down	ToppCell Atlas	38432e3ccbc546dc4c1dc2fb1d8d44f8a6de9424	3'-GW trimst-2-SmallIntestine-Epithelial-mature enterocytic-Enterocyte|GW trimst-2 / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	4.69E-165	8.51E-162	9.34E-161	1.53E-160	145	199	FALSE
active_down	ToppCell Atlas	e3e2233c796d5e9051c8c1b66f70f406f048ed56	3'-Pediatric IBD-SmallIntestine-Epithelial|Pediatric IBD / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	1.60E-167	3.27E-164	3.59E-163	5.24E-163	146	198	FALSE
active_down	ToppCell Atlas	8fac96132663f54566136ef54b53684d31dfde32	3'-Pediatric IBD-SmallIntestine-Epithelial-mature enterocytic|Pediatric IBD / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	5.79E-202	3.15E-198	3.46E-197	1.89E-197	163	198	FALSE
active_down	ToppCell Atlas	c48b3f026b16d48b8eca9f74dc1e3f3f39a89322	3'-Pediatric IBD-SmallIntestine-Epithelial-mature enterocytic-Enterocyte|Pediatric IBD / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	2.80E-206	3.05E-202	3.34E-201	9.14E-202	165	198	FALSE
active_down	ToppCell Atlas	a5fffe381be1ba7d192b68d1d3937ce47663658e	5'-Adult-SmallIntestine|Adult / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	1.06E-174	2.67E-171	2.93E-170	3.47E-170	150	199	FALSE
active_down	ToppCell Atlas	8d629492d2199de8e036c19e9dacceb9c9e721a0	5'-Adult-SmallIntestine-Epithelial|Adult / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	2.99E-181	9.77E-178	1.07E-176	9.77E-177	153	198	TRUE
active_down	ToppCell Atlas	01c2721bc82cd672e9477029b4a7ecc77e2f1b00	5'-Adult-SmallIntestine-Epithelial-mature enterocytic|Adult / Celltypes from developing, pediatric, Crohn's, & adult GI tract	Cells of the human intestinal tract mapped across space and time	5.28E-197	2.16E-193	2.37E-192	1.73E-192	161	199	FALSE
